C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 124, col 26, Warning - ValueSet https://build.fhir.org/valueset-encounter-status.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 10, col 6, Warning - ValueSet https://terminology.hl7.org/5.2.0/ValueSet-encounter-class.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 12, col 10, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 44, col 4, Warning - ValueSet https://terminology.hl7.org/5.2.0/ValueSet-v3-ActPriority.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 46, col 8, Info - Code System URI 'https://terminology.hl7.org/5.2.0/ValueSet-v3-ActPriority.html' is unknown so the code cannot be validated (UNKNOWN)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 125, col 4, Error - Unable to resolve resource with reference 'Patient/JohnDoeStrokePatient' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 131, col 4, Warning - ValueSet https://build.fhir.org/valueset-encounter-subject-status.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 133, col 8, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 53, col 6, Error - Unable to resolve resource with reference 'EpisodeOfCare/JohnDoeStrokeEpisode' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 58, col 6, Error - Unable to resolve resource with reference 'CareTeam/StrokeCareTeam' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 128, col 4, Error - Unable to resolve resource with reference 'Organization/StrokeCenterHospital' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 27, col 10, Warning - ValueSet https://build.fhir.org/valueset-encounter-participant-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 29, col 14, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 39, col 8, Error - Unable to resolve resource with reference 'Practitioner/StrokeSpecialistDrSmith' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 113, col 10, Warning - ValueSet https://build.fhir.org/valueset-encounter-diagnosis-use.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 115, col 14, Error - The code system reference https://build.fhir.org/valueset-encounter-diagnosis-use.html is wrong - the code system reference cannot be a reference to build.fhir.org. This may be the correct reference: {unable to determine intended url} (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 103, col 6, Error - Unable to resolve resource with reference 'Organization/LocalClinic' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 79, col 6, Warning - ValueSet https://build.fhir.org/valueset-encounter-admit-source.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 81, col 10, Error - Unknown Code System 'http://hl7.org/fhir/admit-source' (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 82, col 55, Error - URL value 'http://hl7.org/fhir/admit-source' does not resolve (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 87, col 6, Warning - ValueSet https://terminology.hl7.org/5.2.0/ValueSet-v2-0092.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 89, col 10, Error - Unknown Code System 'http://hl7.org/fhir/re-admission' (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 90, col 55, Error - URL value 'http://hl7.org/fhir/re-admission' does not resolve (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 106, col 6, Error - Unable to resolve resource with reference 'Organization/RehabilitationCenter' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 95, col 6, Warning - ValueSet https://build.fhir.org/valueset-encounter-discharge-disposition.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 97, col 10, Error - Unknown Code System 'http://hl7.org/fhir/discharge-disposition' (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 98, col 64, Error - URL value 'http://hl7.org/fhir/discharge-disposition' does not resolve (INVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 68, col 8, Error - Unable to resolve resource with reference 'Location/neurologyWard' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 71, col 25, Warning - ValueSet https://build.fhir.org/valueset-encounter-location-status.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Organization-MolicAVC-OrganizationExample.json: line 18, col 12, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Organization-MolicAVC-OrganizationExample.json: line 16, col 8, Error - None of the codings provided are in the value set 'Identifier Type Codes' (http://hl7.org/fhir/ValueSet/identifier-type|5.0.0), and a coding from this value set is required) (codes = null#org) (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Organization-MolicAVC-OrganizationExample.json: line 26, col 6, Error - None of the codings provided are in the value set 'Organization Type' (http://hl7.org/fhir/ValueSet/organization-type|5.0.0), and a coding from this value set is required) (codes = null#prov) (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Organization-MolicAVC-OrganizationExample.json: line 28, col 10, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Organization-MolicAVC-OrganizationExample.json: line 34, col 4, Error - Unable to resolve resource with reference 'Organization/HospitalGroupABC' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Organization-MolicAVC-OrganizationExample.json: line 48, col 8, Warning - ValueSet https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/ not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Organization-MolicAVC-OrganizationExample.json: line 50, col 12, Info - Code System URI 'https://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-code_healthunit-valueset/' is unknown so the code cannot be validated (UNKNOWN)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Patient-123456789.json: line 10, col 6, Error - Slicing cannot be evaluated: Could not match discriminator (1) for slice [type.coding.code] in profile Patient.identifier:officialIdentifier - the discriminator https://molic-avc.gabriellesantosleandro.com/StructureDefinition/molicavc-patient-profile|0.1.0 does not have fixed value, binding or existence assertions (PROCESSING)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Patient-123456789.json: line 39, col 12, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Patient-123456789.json: line 50, col 12, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Patient-123456789.json: line 61, col 12, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Patient-123456789.json: line 72, col 12, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Patient-123456789.json: line 83, col 12, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Patient-123456789.json: line 94, col 12, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Practitioner-MolicAVC-DoctorExample.json: line 28, col 8, Warning - ValueSet http://molic-avc.gabriellesantosleandro.com/ValueSet/molicavc-professionalcode-valueset not found (CODEINVALID)
